Name,Latitude,Longitude,Number of Reviews,Address,Rating,Place ID,Estratos,average_inc_us,Types_str
INTER RAPIDÍSIMO - Bogotá Cr. 30 # 7 -45,4.6083039,-74.0969784,2140,"Ave Cra 30 #7-45, Bogotá",3.7,ChIJX9S2LmuZP44RFrAJBi-_ucg,3,479.3824,"gas_station,moving_company,hardware_store,store,home_goods_store"
inter rapidisimo,4.6055324,-74.1255723,21,"Av. 1 de Mayo #51F - 47, Puente Aranda, Bogotá",3.8,ChIJSeLgH8ueP44RK-lWzA_zk4o,2,286.8876,"bank,finance,store,hardware_store,bar"
INTER RAPIDÍSIMO BOGOTÁ,4.6353597,-74.1617643,83,"CRA 86 # 34 B -14 SUR, Bogotá",3.8,ChIJaYVbTtuZP44RRukjkIexULM,4,785.2492,"post_office,finance,store,supermarket,department_store"
INTER RAPIDISIMO CENTENARIO,4.5887768,-74.1092372,87,"Cra 27 #22-42, Bogotá",4.3,ChIJFeuBdSeZP44RJVxTw19phCg,3,479.3824,"general_contractor,store,finance,laundry,hardware_store"
interrapidisimo,4.6736853,-74.14300279999999,2,"# con Carrera 99, Bogotá",3.0,ChIJldXIDIycP44RoFpgpcyTEpE,2,286.8876,"bank,finance,secondary_school,school,drugstore"
Interrapidisimo El Lago,4.666545900000001,-74.05963419999999,15,"Cl. 79 #42 # 18, Bogotá",4.6,ChIJcUcqAPaaP44RtV8tKpEa-9M,2,286.8876,"lodging,health,bank,finance,university"
Inter Rapidisimo Cedritos,4.7215229,-74.0424578,162,"Cra. 16 #136-91, Bogotá",4.2,ChIJSUDyT0OFP44R3f2qlUkhN0Q,3,479.3824,"bank,finance,church,place_of_worship,store"
Interrapidisimo,4.727663199999999,-74.0326635,73,"Cra. 10 # 149-23, Usaquén, Bogotá, Cundinamarca",4.0,ChIJB4jkVmCFP44R6NAZ9Ns77e8,2,286.8876,"store,doctor,health,general_contractor,hair_care"
INTER RAPIDISIMO,4.6150131,-74.0888269,16,"Cra. 28a #17-14, Los Mártires, Bogotá",3.9,ChIJuf0T1m-ZP44R61Z-CTKDnnU,5,933.3508,"store,finance,clothing_store,department_store,electronics_store"
Interrapidisimo Pio XII,4.6341573,-74.1488913,88,"Cra. 79 #6a-39, Kennedy, Bogotá, Cundinamarca",4.3,ChIJ-4-3FyKcP44R6OzgcEmPSIQ,2,286.8876,"church,place_of_worship,store,cafe,food"
Interrapidisimo Cl 150,4.7322083,-74.0517268,41,"Cl. 150 #48-11, Bogotá",4.6,ChIJae-GaPOFP44RMb25jv8U8PY,5,933.3508,"spa,store,drugstore,health,meal_delivery"
INTERRAPIDISIMO SAN CRISTOBAL NORTE BOGOTÁ,4.7393506,-74.02839809999999,84,"110131, Bogotá, Cundinamarca",4.3,ChIJbTI7GIePP44RaLCGRODQma8,4,785.2492,"finance,insurance_agency,school,store,hair_care"
Interrapidisimo,4.6441639,-74.0643666,25,"Cra. 13 #57-28, Localidad de Chapinero, Bogotá, Cundinamarca",4.2,ChIJsS1MlzmaP44RAA-XHKl6Jyk,4,785.2492,"food,clothing_store,store,supermarket,grocery_or_supermarket"
INTERRAPIDISIMO VENECIA RECOGIDAS SIN COSTO,4.5943851,-74.13610369999999,61,"Cl. 45a Sur #52a - 67, Bogotá",4.1,ChIJDSC6ctmeP44R98bxYBHlafA,5,933.3508,"post_office,finance,store,school,secondary_school"
INTERRAPIDISIMO ÁLAMOS NORTE,4.7037463,-74.11616169999999,3,"Cl. 72 #100 22, Engativá, Bogotá, Cundinamarca",5.0,ChIJR9gpx1ObP44R4_Jak5o0YgE,3,479.3824,"pharmacy,health,store,food,dentist"
INTER RAPIDISIMO,4.6531294,-74.1379315,27,"Cra. 81a #13 D 39, Bogotá",4.0,ChIJEdIX2G2cP44RElGeXHRPiwM,3,479.3824,"lodging,finance,insurance_agency,school,store"
Inter Rapidisimo Modelia,4.6669182,-74.1254857,27,"Cra. 82 #23A 25, Bogotá",3.8,ChIJpZJchvCdP44RWsfEpr5O80U,5,933.3508,"school,lodging,insurance_agency,finance,store"
Inter Rapidisimo,4.668434899999999,-74.14232439999999,154,"Cl. 17 #96c-26, Bogotá",3.8,ChIJIy_2B4qcP44Rm0XffYtBijk,3,479.3824,"finance,car_repair,store,lodging,hardware_store"
Interrapidisimo,4.7579012,-74.0224819,1,"cr 49 a # 181-21, Bogotá",4.0,ChIJTyHSQmSPP44RtWciwW6pEJQ,3,479.3824,"grocery_or_supermarket,store,food,school,church"
INTER RAPIDISIMO ISLA DEL SOL - MADELENA - TUNAL,4.5889339,-74.14293289999999,43,"DgG, Dg. 52 Sur #54 A 40, Bogotá",4.5,ChIJQYS1Xd-eP44R5r5VcjHkAgQ,4,785.2492,"store,school,veterinary_care,food,furniture_store"
