Name,Latitude,Longitude,Number of Reviews,Address,Rating,Estratos,average_inc_us,Types_str,city,main_street,Reviews within 150m,Business Review Impact,people_per_stratum,avg_people_per_household,population_density,Education,Food,Health,Services,Shopping
INTER RAPIDÍSIMO - Bogotá Cr. 30 # 7 -45,4.6083039,-74.0969784,2139,"Ave Cra 30 #7-45, Bogotá",3.7,3,479.3824,"gas_station,moving_company,hardware_store,store,home_goods_store",Bogota,1,436,1.203833567087424,1500000,3.3,3127,0,0,0,0,15
INTERRAPIDISIMO CALI VALLE DEL CAUCA,3.4838582,-76.4975998,1581,"Cl. 66 #1n67, Cali, Valle del Cauca",2.3,3,479.3824,"food,church,place_of_worship,home_goods_store,general_contractor",Cali,0,-537,0.6603415559772297,500000,3.3,726,0,4,0,0,5
Interrapidisimo Medellin,6.2517497,-75.5604814,443,"Cra. 43 # 56 - 34, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",3.4,3,479.3824,"lodging,university,school,bar,cafe",Medellin,0,886,3.0,700000,3.3,707,4,4,0,0,0
Inter Rapidísimo San Juan,6.2499539,-75.59888029999999,335,"Cl 44 #79 - 141, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",3.8,5,933.3508,"locksmith,school,car_repair,electronics_store,store",Medellin,1,20,1.0597014925373134,100000,2.7,81,2,0,0,4,10
Interrapidisimo Medellín. Of. Ppal.,6.2328784,-75.585674,268,"Cl. 30A #65cc-1, Medellín, Belén, Medellín, Antioquia",2.2,4,785.2492,"general_contractor,car_repair,store,veterinary_care,cafe",Medellin,1,1301,5.854477611940299,300000,3.0,283,0,4,0,8,5
INTER RAPIDÍSIMO S.A.,3.4364185,-76.5352343,242,"Cra. 23a #8-34, La Alameda, Cali, Valle del Cauca",3.2,3,479.3824,"lodging,store,food,hair_care,clothing_store",Cali,0,3601,15.880165289256198,500000,3.3,726,0,4,0,0,10
Interrapidisimo S.A Empresa de Encomiendas Envios,3.4204087,-76.5423191,241,"Cll 6 #41-51Local 1, Av. Roosevelt #41-1, Cali, Valle del Cauca",3.5,4,785.2492,"lodging,health,car_repair,store,local_government_office",Cali,1,6178,26.634854771784234,200000,3.0,264,0,0,3,8,5
"Inter Rapidisimo, Industriales",6.2295716,-75.5730068,237,"Cra. 46 #27-100, El Poblado, Medellín, El Poblado, Medellín, Antioquia",1.6,6,1295.3598,"painter,home_goods_store,store,bank,atm",Medellin,1,18852,80.54430379746836,10000,2.3,7,0,0,0,4,10
"INTER RAPIDISIMO, Belen",6.231456,-75.5976292,213,"Cl. 30 #77-52, Medellín, Belén, Medellín, Antioquia",3.2,5,933.3508,"grocery_or_supermarket,store,food,storage,home_goods_store",Medellin,1,150,1.704225352112676,100000,2.7,81,0,8,0,4,10
Interrapidísimo Cuarta Brigada,6.261304099999999,-75.5923667,212,"Av. Colombia #76 -129, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",3.9,4,785.2492,"lodging,store,health,physiotherapist,laundry",Medellin,1,3728,18.58490566037736,300000,3.0,283,0,0,6,4,5
INTERRAPIDISIMO ORQUIDEAS,4.7401782,-74.03989949999999,172,"Cl. 161 #16B-48, Bogotá",4.1,4,785.2492,"supermarket,grocery_or_supermarket,food,store,home_goods_store",Bogota,1,1760,11.232558139534884,800000,3.0,1516,0,12,0,0,10
Inter Rapidisimo Cedritos,4.7215229,-74.0424578,162,"Cra. 16 #136-91, Bogotá",4.2,3,479.3824,"bank,finance,church,place_of_worship,store",Bogota,0,1182,8.296296296296296,1500000,3.3,3127,0,0,0,0,5
interrapidisimo punto 2559,3.4204272,-76.5275953,150,"Cristobal Colon, Cali, Valle del Cauca",4.2,3,479.3824,"store,jewelry_store,veterinary_care,food,furniture_store",Cali,1,389,3.5933333333333333,500000,3.3,726,0,4,0,4,15
INTERRAPIDISIMO,3.4491945,-76.5118742,145,"Cl. 33a #11b-56, Comuna 8, Cali, Valle del Cauca",4.1,3,479.3824,"store,church,place_of_worship,moving_company,car_repair",Cali,0,609,5.2,500000,3.3,726,0,0,0,4,5
Interrapidisimo Medellin (Glorieta Santa Gema),6.2384686,-75.60274629999999,126,"Cra. 81 #32 EE - 86, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",4.0,5,933.3508,"lodging,locksmith,home_goods_store,store,food",Medellin,1,1075,9.531746031746032,100000,2.7,81,0,4,0,0,10
